win,match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,average_rank,leaver_status,party_size
1,6830491158,132,0,4568,22,0,63,1667058864,NULL,14,7,18,NULL,33,0,2
1,5341715143,132,0,1954,22,0,97,1586338027,NULL,12,2,13,1,NULL,0,4
1,5309524257,132,0,2199,22,0,46,1584972169,21,9,2,10,1,NULL,0,5
1,5301375978,132,0,3673,22,0,101,1584624165,21,10,8,19,1,NULL,0,5
1,5296047847,132,0,1971,22,0,84,1584369291,NULL,3,1,10,1,NULL,0,4
1,4156633671,2,1,4257,22,7,8,1538896147,NULL,18,10,17,NULL,NULL,0,NULL
1,4136827498,3,1,2483,22,7,84,1537882146,21,4,6,26,1,NULL,0,NULL
1,4135182635,2,1,2884,22,7,112,1537793053,NULL,1,6,16,NULL,NULL,0,NULL
1,4125884751,3,1,2277,22,0,101,1537349029,NULL,5,5,18,1,NULL,0,NULL
1,4115164347,129,0,2292,22,0,50,1536820920,NULL,3,2,17,1,NULL,0,NULL
1,4114148540,128,0,2926,22,0,72,1536760723,NULL,7,6,18,1,NULL,0,NULL
1,4112116678,130,0,5198,22,0,36,1536658198,NULL,12,9,19,NULL,NULL,0,NULL
1,4104268270,4,1,2756,22,0,97,1536296557,NULL,6,4,17,1,NULL,0,NULL
1,3646560125,130,0,2526,22,7,7,1514468791,21,1,5,17,NULL,NULL,0,3
1,3607216737,2,1,3144,22,7,98,1512802839,NULL,11,8,15,NULL,NULL,0,NULL
1,3570975546,0,1,2632,4,0,28,1511093537,NULL,2,7,21,1,NULL,0,NULL
1,3546331617,130,0,2311,22,7,4,1509963249,NULL,4,9,12,NULL,NULL,0,NULL
1,3544822057,129,0,2609,22,7,16,1509891703,NULL,4,5,22,NULL,NULL,0,NULL
1,3542194982,1,1,2663,22,7,81,1509799665,NULL,12,6,6,NULL,NULL,0,NULL
1,3541775770,4,1,1909,22,7,15,1509787490,NULL,11,1,9,NULL,NULL,0,NULL
1,3537938694,3,1,2879,22,7,81,1509632858,NULL,13,5,14,NULL,NULL,0,NULL
1,3531778682,2,1,2800,22,7,51,1509373062,NULL,4,9,16,1,NULL,0,NULL
