match_id,heroID1,heroID2,heroID3,heroID4,heroID5
6830491158,22,72,68,50,63
5341715143,50,41,128,99,97
5309524257,7,8,5,126,46
5301375978,54,113,74,50,101
5296047847,60,112,48,2,84
4156633671,12,121,8,14,35
4136827498,19,9,76,84,45
4135182635,74,4,112,14,1
4125884751,1,74,2,101,35
4115164347,67,50,71,15,62
4114148540,72,34,40,16,75
4112116678,14,74,36,23,2
4104268270,28,99,119,44,97
3646560125,12,90,7,8,74
3607216737,3,1,98,14,74
3570975546,28,15,14,46,97
3546331617,28,1,4,49,63
3544822057,112,16,119,2,93
3542194982,63,81,57,45,13
3541775770,120,23,37,74,15
3537938694,28,31,57,81,74
3531778682,57,53,51,46,6
3518425247,56,84,35,18,87
3484062421,76,97,4,12,50
3294668616,101,73,70,83,44
2939621260,36,76,29,114,9
2938035042,25,44,101,108,76
2936032960,76,31,77,13,27
2934079733,31,34,18,55,32
2933474852,39,66,20,9,49
2933140292,36,104,93,11,59
2931349392,96,106,90,46,104
2930044616,50,106,63,107,9
2919704900,73,75,101,30,60
2916465369,104,35,16,54,101
2915080799,54,88,33,99,13
2911183465,63,80,104,10,3
2906833757,70,31,7,112,76
2902882341,50,70,21,11,83
2894944705,30,114,50,70,46
2894722743,88,26,106,6,28
2893840764,67,98,16,9,50
2891337218,4,105,46,63,84
2890737953,44,21,101,112,34
2889386148,103,11,84,109,87
2888747439,76,44,84,101,97
2887174397,64,34,63,51,36
2880181105,10,90,27,23,114
2876703697,17,50,26,114,1
2876652344,101,50,2,28,1
2875590679,1,9,28,34,48
2872468499,34,27,64,93,28
2866735404,39,54,75,28,114
2865938516,65,67,32,10,84
2864450064,8,9,28,46,101
2862568896,63,11,97,75,5
2862451369,54,96,76,37,84
2861872430,64,28,56,112,76
2861529057,8,102,6,48,101
2861454701,12,7,76,47,98
2861224006,33,39,96,1,48
2837851872,57,74,44,98,84
2837486312,57,101,109,100,34
2832724488,84,8,79,29,74
2830949365,18,5,36,85,17
2829072393,76,51,75,57,18
2828854086,54,22,62,66,57
2824873468,76,67,51,26,31
2821973132,11,10,27,20,8
2821505130,103,34,104,44,57
2820532428,97,7,81,90,44
2818056791,9,18,27,69,29
2815926825,99,97,44,26,57
2812874879,44,14,50,76,98
2811634427,104,67,97,84,55
2808642420,30,98,94,73,84
2806430290,108,44,2,3,6
2804985527,83,56,28,101,27
2802212124,16,9,18,84,46
2801196739,104,81,57,17,9
2799495437,4,98,14,22,8
2798197952,76,89,71,26,84
2792840617,88,22,17,53,28
2791662697,37,9,74,94,93
2789001708,1,99,57,22,14
2788872592,67,83,70,73,20
2781364294,80,85,25,104,81
2778438535,3,67,7,9,62
2776177258,106,37,39,62,99
2773541685,93,25,76,96,79
2772653686,104,8,21,31,55
2770094650,14,73,36,10,7
2769960452,105,19,101,35,30
2037842736,49,26,94,36,39
2036638414,69,46,72,37,100
2036475246,57,58,72,70,37
2035188209,30,8,83,97,85
2033926300,11,2,83,8,98
2033778279,86,56,9,109,64
2033655452,22,28,84,1,83
2031198767,93,111,46,104,39
2030021584,8,11,50,51,107
2027612226,57,6,44,10,84
2026536262,104,35,113,23,59
2025539137,66,74,62,22,18
2025208570,103,39,106,97,26
2023986780,22,14,60,1,30
2023840407,11,4,98,93,111
1992147332,97,73,30,93,39
1990827495,89,11,75,87,21
1988588585,104,96,97,106,101
1983409675,80,21,97,68,2
1981574166,40,106,29,75,21
1977850014,28,4,3,22,12
1976771607,84,50,75,39,89
1974784175,25,54,44,4,14
1974664650,35,40,70,104,11
1973987223,35,56,101,42,85
1970787325,101,84,73,1,99
1968578842,74,18,5,55,29
1968432065,46,106,25,70,85
1967645853,42,36,53,21,87
1965886963,46,98,10,22,5
1964675762,74,21,100,101,67
1963442769,50,8,96,28,3
1960696055,50,70,7,67,59
1959002599,79,1,74,88,9
1958898597,70,22,21,93,3
1958047532,59,112,26,97,11
1957133900,41,101,105,22,63
1955907881,55,1,42,20,46
1952836034,1,22,53,101,39
1950353467,47,30,6,45,50
1950294386,47,30,6,45,50
1950235955,98,30,6,77,50
1950159240,47,30,6,45,50
1945586561,98,9,86,21,67
1943675377,6,83,33,11,98
1939785706,49,94,22,106,59
1938792867,95,73,68,22,40
1935235293,56,23,112,97,10
1932380747,21,50,34,62,70
1931256965,10,74,25,9,39
1929199121,44,50,28,100,15
1927205174,57,11,42,7,96
1926365798,67,12,97,71,39
1923198188,75,95,96,72,7
1919347377,56,101,57,65,76
1917378328,95,30,36,19,83
1915203776,96,21,97,89,100
1913809757,75,21,110,3,86
1912941851,32,29,10,39,109
1912889846,21,5,56,68,19
1910920362,65,104,91,2,41
1910765879,44,106,15,100,32
1899697881,14,100,18,28,46
1893818869,105,6,88,47,16
1891770151,11,26,85,25,1
1891044103,67,100,86,11,21
1888954823,69,90,32,100,38
1887952127,94,74,100,14,89
1885602450,98,33,26,62,80
1882109331,14,94,52,26,56
1875859329,104,94,86,6,2
1866198904,104,42,22,21,81
1861865690,27,31,81,74,90
1861006749,53,47,36,105,106
1859671453,32,74,65,40,28
1858346916,94,23,69,106,71
1856698939,80,39,22,21,95
1855801781,10,11,98,33,25
1854392096,14,48,22,13,98
1853084513,61,49,10,22,30
1850822558,35,97,25,44,1
1849552578,85,21,48,67,27
1846371584,86,28,84,106,93
1585011452,1,46,53,25,97
1584844723,47,71,64,70,109
1583409073,12,30,35,41,105
1583340309,52,41,5,8,35
1582402805,35,56,98,57,45
1579954677,34,41,100,27,77
1579818167,49,7,104,86,94
1571499821,72,9,5,67,106
1564900741,89,88,49,31,90
1559450493,89,51,100,79,16
1533774280,44,2,76,68,94
1533635358,14,74,37,31,86
1531840208,17,31,23,30,28
1529076555,46,26,51,19,67
1521687662,104,89,111,17,2
1520644149,72,112,28,53,11
1513865589,72,56,35,7,21
1513658029,66,51,96,12,78
1510926067,96,26,34,99,89
1510040838,51,63,74,1,107
1509336290,40,74,105,41,52
1503095262,75,8,109,85,41
1500791442,32,14,104,93,56
1498287311,50,79,80,102,99
1497662190,52,70,11,14,86
1497510646,12,87,11,1,4
1490408774,84,41,60,16,58
1487911869,106,35,62,56,7
1485508554,81,46,97,30,34
1482681496,34,65,4,8,42
1480151183,96,7,36,71,21
1479565579,48,70,36,44,11
1479413863,60,50,69,70,35
1478272521,71,20,31,44,82
1475120851,11,36,101,77,100
1474337973,31,97,85,19,93
1472017947,32,44,57,31,97
1469650603,105,12,22,60,100
1468933232,36,61,91,93,34
1467821415,25,67,103,38,29
1465510579,104,52,73,79,56
1464912464,27,32,57,99,46
1464644469,14,93,73,63,5
1464313062,53,27,39,29,44
1462727440,11,42,41,20,35
1461871914,52,45,50,105,14
1461822794,6,90,50,9,14
1460460983,100,49,96,11,8
1459469322,2,111,100,41,60
1456625878,35,57,100,19,96
1453932639,105,32,88,74,44
1449759711,14,59,62,70,6
1447166383,11,76,112,73,57
1444513545,100,88,104,70,23
1436130130,67,64,70,63,49
1434873659,43,1,99,30,53
1433888323,35,18,50,87,99
1426034542,98,35,57,74,32
1423263157,70,56,1,100,74
1420803659,99,102,19,97,30
1417967640,53,71,99,74,8
